predict_time,future_time,lstm_class,lstm_predic,lstm_price,time_price,future_price,signal1,signal2,signal3

2020-11-27 02:00:00,2020-11-27 03:00:00,1.0,1,1.0,17177.30965500399,17134.586611585615,,1,
2020-11-27 03:00:00,2020-11-27 04:00:00,1.0,1,1.0,17174.231479251397,17126.449338810442,,,
2020-11-27 04:00:00,2020-11-27 05:00:00,1.0,1,1.0,17403.476092737987,17086.993071870802,,,
2020-11-27 05:00:00,2020-11-27 06:00:00,1.0,1,1.0,17330.601932458296,17103.39070691347,,,

2020-11-27 11:00:00,2020-11-27 12:00:00,0.0,1,0.0,16917.550776135144,16928,0,0

2020-11-27 12:00:00,2020-11-27 13:00:00,0.0,1,1.0,17027.6388216473,17067,0,0

2020-11-27 13:00:00,2020-11-27 14:00:00,0.0,1,0.0,16834.266862576555,17236,0,0

2020-11-27 14:00:00,2020-11-27 15:00:00,1.0,1,1.0,16828.144926901794,17048,1,1

2020-11-27 15:00:00,2020-11-27 16:00:00,1.0,1,1.0,16868.85999941563,17161,1,1

2020-11-27 16:00:00,2020-11-27 17:00:00,0.0,0,0.0,17020.433499795472,17046,0,0

2020-11-27 16:00:00,2020-11-27 17:00:00,1.0,1,0.0,17031.652499795473,16963,0,0

2020-11-27 17:00:00,2020-11-27 18:00:00,0.0,1,0.0,16880.354274928417,16946,0,0

2020-11-27 18:00:00,2020-11-27 19:00:00,0.0,1,0.0,16738.05772122495,17065,0,0

2020-11-27 19:00:00,2020-11-27 20:00:00,0.0,1,0.0,16605.21187742873,17065,0,0

2020-11-28 14:00:00,2020-11-28 15:00:00,0.0,0,0.0,17130.933840689173,17080,0,0

2020-11-28 15:00:00,2020-11-28 16:00:00,1.0,0,0.0,17159.375019241208,17078,1,1

2020-11-28 17:00:00,2020-11-28 18:00:00,1.0,0,0.0,17354.827873607046,17171,1,1

2020-11-28 19:00:00,2020-11-28 20:00:00,1.0,0,0.0,17640.652208266863,17696,1,1

2020-11-28 20:00:00,2020-11-28 21:00:00,1.0,0,1.0,17681.014797893404,17469,1,1

2020-11-28 21:00:00,2020-11-28 22:00:00,1.0,1,1.0,17722.977954262693,17774,1,1

2020-11-28 23:00:00,2020-11-29 00:00:00,1.0,1,1.0,17828.95984439718,17846,1,1

2020-11-29 00:00:00,2020-11-29 01:00:00,1.0,1,1.0,17734.191245539016,17498,1,1

2020-11-29 12:00:00,2020-11-29 13:00:00,1.0,0,1.0,18070.30936071378,17816,1,1

2020-11-29 13:00:00,2020-11-29 14:00:00,1.0,0,1.0,18114.299826249822,17879,1,1

2020-11-29 14:00:00,2020-11-29 15:00:00,1.0,0,1.0,18136.54976418744,17813,1,1

2020-11-29 15:00:00,2020-11-29 16:00:00,1.0,0,1.0,18129.903342465605,17988,1,1

2020-11-29 16:00:00,2020-11-29 17:00:00,0.0,1,1.0,18064.55309486296,18266,0,1

2020-11-29 17:00:00,2020-11-29 18:00:00,1.0,1,1.0,18149.082283202035,18208,1,1

